Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2012,S92000003,d,45-64 years,,Males,,Cerebrovascular Disease,166,,23.321780154289,,23.787826444239123
2012,S92000003,d,45-64 years,,Females,,Cerebrovascular Disease,135,,18.1181058929475,,18.234683458918433
2012,S92000003,d,65-74 years,,Males,,Cerebrovascular Disease,274,,114.654425702677,,119.31711979179364
2012,S92000003,d,65-74 years,,Females,,Cerebrovascular Disease,276,,102.866471120984,,105.7192063335165
2012,S92000003,d,75plus years,,Males,,Cerebrovascular Disease,1223,,745.772633864054,,852.250130663248
2012,S92000003,d,75plus years,,Females,,Cerebrovascular Disease,2360,,927.446927242575,,908.209782454995
2012,S12000005,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000005,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000005,,45-64 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000005,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,52.546985930736895
2012,S12000005,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,194.19691542944872
2012,S12000005,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,32.55497351208973
2012,S12000005,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,867.2888453933151
2012,S12000005,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,851.6854714482274
2012,S12000006,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000006,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000006,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,26.877108391247955
2012,S12000006,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,21.08930349538284
2012,S12000006,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,114.45910310386272
2012,S12000006,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,64.91778609704177
2012,S12000006,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,995.65866155687
2012,S12000006,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1015.4664592240736
2012,S12000008,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000008,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000008,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,29.59020890812358
2012,S12000008,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,16.972123145549936
2012,S12000008,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,94.519745174767
2012,S12000008,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,97.23451204215804
